"TOKEN";"REFTEXT"

"${modTag}_CON_0l";"x0.25"
"${modTag}_CON_0m";"x0.5"
"${modTag}_CON_0h";"x0.75"
"${modTag}_CON_1";"x1"
"${modTag}_CON_1l";"x1.25"
"${modTag}_CON_1m";"x1.5"
"${modTag}_CON_1h";"x1.75"
"${modTag}_CON_2";"x2"
"${modTag}_CON_2l";"x2.25"
"${modTag}_CON_2m";"x2.5"
"${modTag}_CON_2h";"x2.75"
"${modTag}_CON_3";"x3"
"${modTag}_CON_3m";"x3.5"
"${modTag}_CON_4";"x4"
"${modTag}_CON_4m";"x4.5"
"${modTag}_CON_5";"x5"
"${modTag}_CON_5m";"x5.5"
"${modTag}_CON_6";"x6"
"${modTag}_CON_6m";"x6.5"
"${modTag}_CON_7";"x7"
"${modTag}_CON_7m";"x7.5"
"${modTag}_CON_8";"x8"
"${modTag}_CON_8m";"x8.5"
"${modTag}_CON_9";"x9"
"${modTag}_CON_9m";"x9.5"
"${modTag}_CON_10";"x10"
"${modTag}_CON_15";"x15"
"${modTag}_CON_20";"x20"
"${modTag}_CON_30";"x30"
"${modTag}_CON_40";"x40"
"${modTag}_CON_50";"x50"
"${modTag}_CON_99";"x99 (bruh)"


"${modTag}";"Yokaiste’s Sandbox Mod"
"${modTag}TIT";"Yokaiste’s Sandbox Mod 2.5"
"${modTag}MT";"Made with ♥ by Yokaiste"
"${modTag}L1";"Workshop page"
"${modTag}U1";"t.ly/87TI3"
"${modTag}L2";"YSM Community"
"${modTag}U2";"t.ly/ZRnSO"
"${modTag}L3";"Deck recovery & more"
"${modTag}U3";"t.ly/Nk20O"
